name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha
ancient-black-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-black-dragon,21,dragon,Gargantuan,22,367,"fly, swim",chaotic evil,Legendary,Monster Manual (SRD),27.0,14.0,25.0,16.0,15.0,19.0
ancient-blue-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-blue-dragon,23,dragon,Gargantuan,22,481,fly,lawful evil,Legendary,Monster Manual (SRD),29.0,10.0,27.0,18.0,17.0,21.0
ancient-brass-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-brass-dragon,20,dragon,Gargantuan,20,297,fly,chaotic good,Legendary,Monster Manual (SRD),27.0,10.0,25.0,16.0,15.0,19.0
ancient-bronze-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-bronze-dragon,22,dragon,Gargantuan,22,444,"fly, swim",lawful good,Legendary,Monster Manual (SRD),29.0,10.0,27.0,18.0,17.0,21.0
ancient-copper-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-copper-dragon,21,dragon,Gargantuan,21,350,fly,chaotic good,Legendary,Monster Manual (SRD),27.0,12.0,25.0,20.0,17.0,19.0
ancient-gold-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-gold-dragon,24,dragon,Gargantuan,22,546,"fly, swim",lawful good,Legendary,Monster Manual (SRD),30.0,14.0,29.0,18.0,17.0,28.0
ancient-green-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-green-dragon,22,dragon,Gargantuan,21,385,"fly, swim",lawful evil,Legendary,Monster Manual (SRD),27.0,12.0,25.0,20.0,17.0,19.0
ancient-red-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-red-dragon,24,dragon,Gargantuan,22,546,fly,chaotic evil,Legendary,Monster Manual (SRD),30.0,10.0,29.0,18.0,15.0,23.0
ancient-shadow,https://www.aidedd.org/dnd/monstres.php?vo=ancient-shadow,1,undead,Medium,13,32,NULL,chaotic evil,NULL,Extra (AideDD),6.0,16.0,14.0,6.0,10.0,8.0
ancient-silver-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-silver-dragon,23,dragon,Gargantuan,22,487,fly,lawful good,Legendary,Monster Manual (SRD),30.0,10.0,29.0,18.0,15.0,23.0
ancient-white-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-white-dragon,20,dragon,Gargantuan,20,333,"fly, swim",chaotic evil,Legendary,Monster Manual (SRD),26.0,10.0,26.0,10.0,13.0,14.0
androsphinx,https://www.aidedd.org/dnd/monstres.php?vo=androsphinx,17,monstrosity,Large,17,199,fly,lawful neutral,Legendary,Monster Manual (SRD),22.0,10.0,20.0,16.0,18.0,23.0
animated-armor,https://www.aidedd.org/dnd/monstres.php?vo=animated-armor,1,construct,Medium,18,33,NULL,unaligned,NULL,Monster Manual (SRD),14.0,11.0,13.0,1.0,3.0,1.0
ankheg,https://www.aidedd.org/dnd/monstres.php?vo=ankheg,2,monstrosity,Large,14,39,NULL,unaligned,NULL,Monster Manual (SRD),17.0,11.0,13.0,1.0,13.0,6.0
ankylosaurus,https://www.aidedd.org/dnd/monstres.php?vo=ankylosaurus,3,beast,Huge,15,68,NULL,unaligned,NULL,Monster Manual (SRD),19.0,11.0,15.0,2.0,12.0,5.0
annis-hag,https://www.aidedd.org/dnd/monstres.php?vo=annis-hag,6,fey,Large,17,75,NULL,chaotic evil,NULL,Volo's Guide to Monsters,21.0,12.0,14.0,13.0,14.0,15.0
ape,https://www.aidedd.org/dnd/monstres.php?vo=ape,1/2,beast,Medium,12,19,NULL,unaligned,NULL,Monster Manual (SRD),16.0,14.0,14.0,6.0,12.0,7.0
apprentice-wizard,NULL,1/4,humanoid (any race),Medium,10,9,NULL,any alignment,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
arcanaloth,NULL,12,fiend (yugoloth),Medium,17,104,fly,neutral evil,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
archdruid,NULL,12,humanoid (any race),Medium,16,132,NULL,any alignment,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
archer,NULL,3,humanoid (any race),Medium,16,75,NULL,any alignment,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
archmage,https://www.aidedd.org/dnd/monstres.php?vo=archmage,12,humanoid (any race),Medium,12,99,NULL,any alignment,NULL,Monster Manual (SRD),10.0,14.0,12.0,20.0,15.0,16.0
armanite,NULL,7,fiend (demon),Large,16,84,NULL,chaotic evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
assassin,https://www.aidedd.org/dnd/monstres.php?vo=assassin,8,humanoid (any race),Medium,15,78,NULL,any non-good alignment,NULL,Monster Manual (SRD),11.0,16.0,14.0,13.0,11.0,10.0
assassin-vine,NULL,3,plant,Large,13,85,NULL,unaligned,NULL,Adventures (Tomb of Annihilation),NULL,NULL,NULL,NULL,NULL,NULL
astral-dreadnought,https://www.aidedd.org/dnd/monstres.php?vo=astral-dreadnought,21,monstrosity (titan),Gargantuan,20,297,fly,unaligned,Legendary,Mordenkainen's Tome of Foes,28.0,7.0,25.0,5.0,14.0,18.0
atropal,NULL,13,undead (titan),Huge,7,225,fly,neutral evil,NULL,Adventures (Tomb of Annihilation),NULL,NULL,NULL,NULL,NULL,NULL
aurochs,https://www.aidedd.org/dnd/monstres.php?vo=aurochs,2,beast,Large,11,38,NULL,unaligned,NULL,Volo's Guide to Monsters,20.0,10.0,19.0,2.0,12.0,5.0
autumn-eladrin,NULL,10,fey (elf),Medium,19,127,NULL,chaotic neutral,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
awakened-shrub,https://www.aidedd.org/dnd/monstres.php?vo=awakened-shrub,0,plant,Small,9,10,NULL,unaligned,NULL,Monster Manual (SRD),3.0,8.0,11.0,10.0,10.0,6.0
awakened-tree,https://www.aidedd.org/dnd/monstres.php?vo=awakened-tree,2,plant,Huge,13,59,NULL,unaligned,NULL,Monster Manual (SRD),19.0,6.0,15.0,10.0,10.0,7.0
axe-beak,https://www.aidedd.org/dnd/monstres.php?vo=axe-beak,1/4,beast,Large,11,19,NULL,unaligned,NULL,Monster Manual (SRD),14.0,12.0,12.0,2.0,10.0,5.0
azer,https://www.aidedd.org/dnd/monstres.php?vo=azer,2,elemental,Medium,17,39,NULL,lawful neutral,NULL,Monster Manual (SRD),17.0,12.0,15.0,12.0,13.0,10.0
babau,NULL,4,fiend (demon),Medium,16,82,NULL,chaotic evil,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
baboon,https://www.aidedd.org/dnd/monstres.php?vo=baboon,0,beast,Small,12,3,NULL,unaligned,NULL,Monster Manual (SRD),8.0,14.0,11.0,4.0,12.0,6.0
badger,https://www.aidedd.org/dnd/monstres.php?vo=badger,0,beast,Tiny,10,3,NULL,unaligned,NULL,Monster Manual (SRD),4.0,11.0,12.0,2.0,12.0,5.0
bael,NULL,19,fiend (devil),Large,18,189,NULL,lawful evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
balhannoth,NULL,11,aberration,Large,17,114,NULL,chaotic evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
balor,https://www.aidedd.org/dnd/monstres.php?vo=balor,19,fiend (demon),Huge,19,262,fly,chaotic evil,NULL,Monster Manual (SRD),26.0,15.0,22.0,20.0,16.0,22.0
banderhobb,NULL,5,monstrosity,Large,15,84,NULL,neutral evil,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
bandit,https://www.aidedd.org/dnd/monstres.php?vo=bandit,1/8,humanoid (any race),Medium,12,11,NULL,any non-lawful alignment,NULL,Monster Manual (SRD),11.0,12.0,12.0,10.0,10.0,10.0
bandit-captain,https://www.aidedd.org/dnd/monstres.php?vo=bandit-captain,2,humanoid (any race),Medium,15,65,NULL,any non-lawful alignment,NULL,Monster Manual (SRD),15.0,16.0,14.0,14.0,11.0,14.0
banshee,https://www.aidedd.org/dnd/monstres.php?vo=banshee,4,undead,Medium,12,58,fly,chaotic evil,NULL,Monster Manual (SRD),1.0,14.0,10.0,12.0,11.0,17.0
baphomet,NULL,23,fiend (demon),Huge,22,275,NULL,chaotic evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
barbed-devil,https://www.aidedd.org/dnd/monstres.php?vo=barbed-devil,5,fiend (devil),Medium,15,110,NULL,lawful evil,NULL,Monster Manual (SRD),16.0,17.0,18.0,12.0,14.0,14.0
bard,NULL,2,humanoid (any race),Medium,15,44,NULL,any alignment,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
barghest,https://www.aidedd.org/dnd/monstres.php?vo=barghest,4,fiend (shapechanger),Large,17,90,NULL,neutral evil,NULL,Volo's Guide to Monsters,19.0,15.0,14.0,13.0,12.0,14.0
barlgura,https://www.aidedd.org/dnd/monstres.php?vo=barlgura,5,fiend (demon),Large,15,68,NULL,chaotic evil,NULL,Monster Manual (BR),18.0,15.0,16.0,7.0,14.0,9.0
basilisk,https://www.aidedd.org/dnd/monstres.php?vo=basilisk,3,monstrosity,Medium,15,52,NULL,unaligned,NULL,Monster Manual (SRD),16.0,8.0,15.0,2.0,8.0,7.0
bat,https://www.aidedd.org/dnd/monstres.php?vo=bat,0,beast,Tiny,12,1,fly,unaligned,NULL,Monster Manual (SRD),2.0,15.0,8.0,2.0,12.0,4.0
bearded-devil,https://www.aidedd.org/dnd/monstres.php?vo=bearded-devil,3,fiend (devil),Medium,13,52,NULL,lawful evil,NULL,Monster Manual (SRD),16.0,15.0,15.0,9.0,11.0,11.0
behir,https://www.aidedd.org/dnd/monstres.php?vo=behir,11,monstrosity,Huge,17,168,NULL,neutral evil,NULL,Monster Manual (SRD),23.0,16.0,18.0,7.0,14.0,12.0
beholder,NULL,13,aberration,Large,18,180,fly,lawful evil,Legendary,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
beholder-zombie,NULL,5,undead,Large,15,93,fly,neutral evil,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
belaphoss,https://www.aidedd.org/dnd/monstres.php?vo=belaphoss,20,fiend (demon),Huge,19,262,fly,chaotic evil,NULL,Extra (Dragon Mag),26.0,15.0,22.0,20.0,16.0,22.0
berbalang,NULL,2,aberration,Medium,14,38,fly,neutral evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
berserker,https://www.aidedd.org/dnd/monstres.php?vo=berserker,2,humanoid (any race),Medium,13,67,NULL,any chaotic alignment,NULL,Monster Manual (SRD),16.0,12.0,17.0,9.0,11.0,9.0
bheur-hag,NULL,7,fey,Medium,17,91,NULL,chaotic evil,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
black-abishai,NULL,7,fiend (devil),Medium,15,58,fly,lawful evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
black-bear,https://www.aidedd.org/dnd/monstres.php?vo=black-bear,1/2,beast,Medium,11,19,NULL,unaligned,NULL,Monster Manual (SRD),15.0,10.0,14.0,2.0,12.0,7.0
black-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=black-dragon-wyrmling,2,dragon,Medium,17,33,"fly, swim",chaotic evil,NULL,Monster Manual (SRD),15.0,14.0,13.0,10.0,11.0,13.0
black-gauntlet-of-bane,NULL,6,humanoid (human),Medium,16,51,NULL,lawful evil,NULL,Adventures (Descent into Avernus),NULL,NULL,NULL,NULL,NULL,NULL
black-pudding,https://www.aidedd.org/dnd/monstres.php?vo=black-pudding,4,ooze,Large,7,85,NULL,unaligned,NULL,Monster Manual (SRD),16.0,5.0,16.0,1.0,6.0,1.0
blackguard,NULL,8,humanoid (any race),Medium,18,153,NULL,any non-good alignment,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
blink-dog,https://www.aidedd.org/dnd/monstres.php?vo=blink-dog,1/4,fey,Medium,13,22,NULL,lawful good,NULL,Monster Manual (SRD),12.0,17.0,12.0,10.0,13.0,11.0
blood-hawk,https://www.aidedd.org/dnd/monstres.php?vo=blood-hawk,1/8,beast,Small,12,7,fly,unaligned,NULL,Monster Manual (SRD),6.0,14.0,10.0,3.0,14.0,5.0
blue-abishai,NULL,17,fiend (devil),Medium,19,195,fly,lawful evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
blue-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=blue-dragon-wyrmling,3,dragon,Medium,17,52,fly,lawful evil,NULL,Monster Manual (SRD),17.0,10.0,15.0,12.0,11.0,15.0
blue-slaad,NULL,7,aberration,Large,15,123,NULL,chaotic neutral,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
boar,https://www.aidedd.org/dnd/monstres.php?vo=boar,1/4,beast,Medium,11,11,NULL,unaligned,NULL,Monster Manual (SRD),13.0,11.0,12.0,2.0,9.0,5.0
bodak,NULL,6,undead,Medium,15,58,NULL,chaotic evil,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
boggle,NULL,1/8,fey,Small,14,18,NULL,chaotic neutral,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
bone-devil,https://www.aidedd.org/dnd/monstres.php?vo=bone-devil,9,fiend (devil),Large,19,142,fly,lawful evil,NULL,Monster Manual (SRD),18.0,16.0,18.0,13.0,14.0,16.0
bone-naga,NULL,4,undead,Large,15,58,NULL,lawful evil,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
boneclaw,NULL,12,undead,Large,16,127,NULL,chaotic evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
brass-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=brass-dragon-wyrmling,1,dragon,Medium,16,16,fly,chaotic good,NULL,Monster Manual (SRD),15.0,10.0,13.0,10.0,11.0,13.0
brontosaurus,NULL,5,beast,Gargantuan,15,121,NULL,unaligned,NULL,Adventures (Tomb of Annihilation),NULL,NULL,NULL,NULL,NULL,NULL
bronze-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=bronze-dragon-wyrmling,2,dragon,Medium,17,32,"fly, swim",lawful good,NULL,Monster Manual (SRD),17.0,10.0,15.0,12.0,11.0,15.0
brown-bear,https://www.aidedd.org/dnd/monstres.php?vo=brown-bear,1,beast,Large,11,34,NULL,unaligned,NULL,Monster Manual (SRD),19.0,10.0,16.0,2.0,13.0,7.0
bugbear,https://www.aidedd.org/dnd/monstres.php?vo=bugbear,1,humanoid (goblinoid),Medium,16,27,NULL,chaotic evil,NULL,Monster Manual (SRD),15.0,14.0,13.0,8.0,11.0,9.0
bugbear-chief,NULL,3,humanoid (goblinoid),Medium,17,65,NULL,chaotic evil,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
bulette,https://www.aidedd.org/dnd/monstres.php?vo=bulette,5,monstrosity,Large,17,94,NULL,unaligned,NULL,Monster Manual (SRD),19.0,11.0,21.0,2.0,10.0,5.0
bulezau,NULL,3,fiend (demon),Medium,14,52,NULL,chaotic evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
bullywug,https://www.aidedd.org/dnd/monstres.php?vo=bullywug,1/4,humanoid (bullywug),Medium,15,11,swim,neutral evil,NULL,Monster Manual (BR),12.0,12.0,13.0,7.0,10.0,7.0
cadaver-collector,NULL,14,construct,Large,17,189,NULL,lawful evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
cambion,NULL,5,fiend,Medium,19,82,fly,any evil alignment,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
camel,https://www.aidedd.org/dnd/monstres.php?vo=camel,1/8,beast,Large,9,15,NULL,unaligned,NULL,Monster Manual (SRD),16.0,8.0,14.0,2.0,8.0,5.0
canoloth,NULL,8,fiend (yugoloth),Medium,16,120,NULL,neutral evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
carrion-crawler,NULL,2,monstrosity,Large,13,51,NULL,unaligned,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
cat,https://www.aidedd.org/dnd/monstres.php?vo=cat,0,beast,Tiny,12,2,NULL,unaligned,NULL,Monster Manual (SRD),3.0,15.0,10.0,3.0,12.0,7.0
catoblepas,NULL,5,monstrosity,Large,14,84,NULL,unaligned,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
cave-fisher,NULL,3,monstrosity,Medium,16,58,NULL,unaligned,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
centaur,https://www.aidedd.org/dnd/monstres.php?vo=centaur,2,monstrosity,Large,12,45,NULL,neutral good,NULL,Monster Manual (SRD),18.0,14.0,14.0,9.0,13.0,11.0
chain-devil,https://www.aidedd.org/dnd/monstres.php?vo=chain-devil,8,fiend (devil),Medium,16,85,NULL,lawful evil,NULL,Monster Manual (SRD),18.0,15.0,18.0,11.0,12.0,14.0
champion,NULL,9,humanoid (any race),Medium,18,143,NULL,any alignment,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
chasme,NULL,6,fiend (demon),Large,15,84,fly,chaotic evil,NULL,Monster Manual,NULL,NULL,NULL,NULL,NULL,NULL
chimera,https://www.aidedd.org/dnd/monstres.php?vo=chimera,6,monstrosity,Large,14,114,fly,chaotic evil,NULL,Monster Manual (SRD),19.0,11.0,19.0,3.0,14.0,10.0
chitine,NULL,1/2,monstrosity,Small,14,18,NULL,chaotic evil,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
choker,NULL,1,aberration,Small,16,13,NULL,chaotic evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
choldrith,NULL,3,monstrosity,Medium,15,66,NULL,chaotic evil,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
chuul,https://www.aidedd.org/dnd/monstres.php?vo=chuul,4,aberration,Large,16,93,swim,chaotic evil,NULL,Monster Manual (SRD),19.0,10.0,16.0,5.0,11.0,5.0
clay-golem,https://www.aidedd.org/dnd/monstres.php?vo=clay-golem,9,construct,Large,14,133,NULL,unaligned,NULL,Monster Manual (SRD),20.0,9.0,18.0,3.0,8.0,1.0
cloaker,https://www.aidedd.org/dnd/monstres.php?vo=cloaker,8,aberration,Large,14,78,fly,chaotic neutral,NULL,Monster Manual (SRD),17.0,15.0,12.0,13.0,12.0,14.0
cloud-giant,https://www.aidedd.org/dnd/monstres.php?vo=cloud-giant,9,giant,Huge,14,200,NULL,neutral good ,NULL,Monster Manual (SRD),27.0,10.0,22.0,12.0,16.0,16.0
cloud-giant-smiling-one,NULL,11,giant (cloud giant),Huge,15,262,NULL,chaotic neutral,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
cockatrice,https://www.aidedd.org/dnd/monstres.php?vo=cockatrice,1/2,monstrosity,Small,11,27,fly,unaligned,NULL,Monster Manual (SRD),6.0,12.0,12.0,2.0,13.0,5.0
commoner,https://www.aidedd.org/dnd/monstres.php?vo=commoner,0,humanoid (any race),Medium,10,4,NULL,any alignment,NULL,Monster Manual (SRD),10.0,10.0,10.0,10.0,10.0,10.0
conjurer,NULL,6,humanoid (any race),Medium,12,40,NULL,any alignment,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
constrictor-snake,https://www.aidedd.org/dnd/monstres.php?vo=constrictor-snake,1/4,beast,Large,12,13,swim,unaligned,NULL,Monster Manual (SRD),15.0,14.0,12.0,1.0,10.0,3.0
copper-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=copper-dragon-wyrmling,1,dragon,Medium,16,22,fly,chaotic good,NULL,Monster Manual (SRD),15.0,12.0,13.0,14.0,11.0,13.0
corpse-flower,NULL,8,plant,Large,12,127,NULL,chaotic evil,NULL,Mordenkainen's Tome of Foes,NULL,NULL,NULL,NULL,NULL,NULL
couatl,https://www.aidedd.org/dnd/monstres.php?vo=couatl,4,celestial,Medium,19,97,fly,lawful good,NULL,Monster Manual (SRD),16.0,20.0,17.0,18.0,20.0,18.0
cow,https://www.aidedd.org/dnd/monstres.php?vo=cow,1/4,beast,Large,10,15,NULL,unaligned,NULL,Volo's Guide to Monsters,18.0,10.0,14.0,2.0,10.0,4.0
crab,https://www.aidedd.org/dnd/monstres.php?vo=crab,0,beast,Tiny,11,2,swim,unaligned,NULL,Monster Manual (SRD),2.0,11.0,10.0,1.0,8.0,2.0
crag-cat,NULL,1,beast,Large,13,34,NULL,unaligned,NULL,Adventures (Storm King's Thunder),NULL,NULL,NULL,NULL,NULL,NULL
cranium-rat,NULL,0,beast,Tiny,12,2,NULL,lawful evil,NULL,Volo's Guide to Monsters,NULL,NULL,NULL,NULL,NULL,NULL
crawling-claw,https://www.aidedd.org/dnd/monstres.php?vo=crawling-claw,0,undead,Tiny,12,2,NULL,neutral evil,NULL,Monster Manual (BR),13.0,14.0,11.0,5.0,10.0,4.0
crocodile,https://www.aidedd.org/dnd/monstres.php?vo=crocodile,1/2,beast,Large,12,19,swim,unaligned,NULL,Monster Manual (SRD),15.0,10.0,13.0,2.0,10.0,5.0
crokek-toeck,NULL,14,fiend (demon),Gargantuan,15,297,swim,chaotic evil,NULL,Adventures (Descent into Avernus),NULL,NULL,NULL,NULL,NULL,NULL
cult-fanatic,https://www.aidedd.org/dnd/monstres.php?vo=cult-fanatic,2,humanoid (any race),Medium,13,33,NULL,any non-good alignment,NULL,Monster Manual (SRD),11.0,14.0,12.0,10.0,13.0,14.0
cultist,https://www.aidedd.org/dnd/monstres.php?vo=cultist,1/8,humanoid (any race),Medium,12,9,NULL,any non-good alignment,NULL,Monster Manual (SRD),11.0,12.0,10.0,10.0,11.0,10.0
cyclops,https://www.aidedd.org/dnd/monstres.php?vo=cyclops,6,giant,Huge,14,138,NULL,chaotic neutral,NULL,Monster Manual (SRD),22.0,11.0,20.0,8.0,6.0,10.0
