movie_title;release_date;duration_minutes;genre;director;cast;language;country_of_origin;rating;box_office_revenue;currency
Left Hand of God, The;10/26/1986;220;Drama;Carline Joskowicz;Imojean Simony;Icelandic;Russia;R;135424125;Ruble
Explorers;10/25/1904;233;Comedy;Betty Labusquiere;Shea Durie;Filipino;Japan;NC-17;594974045;Yen
Love at Large;07.10.1981;153;Thriller;Cirstoforo McNickle;Hermine Slides;Croatian;Greece;PG-13;34483966;Euro
Forever Hardcore: The Documentary;12.05.1970;128;Sci-Fi;Susana Sherreard;Gualterio Wilden;Gujarati;Indonesia;NC-17;914658253;Rupiah
Zatoichi and the Fugitives (Zatôichi hatashi-jô) (Zatôichi 18);9/18/1997;212;Action;Catriona Veryard;Hank Barefoot;Swahili;China;NC-17;809920601;Yuan Renminbi
Babe;04.03.1916;167;Action;Rey Cobbald;Averil Cattrall;Ndebele;Russia;PG;970195862;Ruble
Return of the Prodigal Son, The (Návrat ztraceného syna);03.09.1904;122;Romance;Benetta Maylor;Giorgia Wickstead;Estonian;Serbia;R;137566195;Dinar
Hart's War;08.01.1955;124;Horror;Andris Zmitrovich;Jerrie Craighead;Dutch;Poland;NC-17;255009738;Zloty
Another Harvest Moon;7/26/1907;188;Romance;Torr Romaines;Virgil Haysman;Irish Gaelic;Indonesia;NC-17;790058331;Rupiah
Colors;08.12.1941;116;Sci-Fi;Grange Eloy;Gwynne Maryin;Kurdish;Argentina;G;997394543;Peso
Korczak;3/28/1993;136;Drama;Karlotte Padwick;Gilligan Kynd;Indonesian;Portugal;PG;618032360;Euro
Quicksilver;01.12.1984;164;Horror;Adi Burkett;Jayme Lauxmann;Swedish;Haiti;G;970850103;Gourde
Animals are Beautiful People;8/24/2014;234;Thriller;Lock Peaden;Kameko Guillot;Armenian;Canada;PG-13;165032886;Dollar
Leopard, The (Gattopardo, Il);12/17/1941;209;Drama;Gian Mudd;Napoleon Swancott;Northern Sotho;Togo;PG-13;707837007;Franc
London After Midnight;11.10.1968;63;Action;Beryl Lincey;Krysta Rickert;Luxembourgish;France;PG-13;540963821;Euro
Mr. Wrong;8/23/1938;216;Action;Chrotoem Kirkby;Kelley Bryer;Korean;China;PG;954286474;Yuan Renminbi
Belle Starr;7/18/1946;133;Romance;Georgette Tomasino;Caterina Autie;Punjabi;Russia;NC-17;439287870;Ruble
Green Lantern: First Flight;11/15/1918;100;Drama;Hilario Peirson;Isidro McKenney;Māori;Paraguay;PG-13;230589007;Guarani
White Men Can't Jump;10.07.1922;83;Thriller;Ulrika Hindes;Maxine McPike;Georgian;Angola;R;87527866;Kwanza
Stardust;2/26/1927;232;Horror;Matty Karpeev;Olly Rignold;Icelandic;Argentina;PG-13;891691296;Peso
Bikini Summer;4/21/1924;192;Action;Ben Blessed;Fernanda Crichley;Filipino;Indonesia;PG;833067580;Rupiah
Belle and Sebastien (Belle et Sébastien);11.10.1917;147;Romance;Hermia Lutsch;Rhys Berka;English;China;PG-13;612276075;Yuan Renminbi
Chicken Run;05.10.1942;117;Action;Rosana Myrkus;Teri Kach;Mongolian;Brazil;NC-17;806079890;Real
Poolsite;11/14/1918;77;Comedy;Ange Summers;Selig Pydcock;Romanian;Philippines;R;14289638;Peso
Melinda and Melinda;02.09.1903;126;Horror;Dael Lawrenceson;Samara Carmichael;Bislama;Colombia;NC-17;691704453;Peso
Martin Lawrence: You So Crazy;3/31/2020;233;Sci-Fi;Georgy Denyukin;Phylys Ades;Dzongkha;Philippines;PG;137959840;Peso
Once Upon a Time in China II (Wong Fei-hung Ji Yi: Naam yi dong ji keung);11/26/1966;215;Action;Wenona Tommasuzzi;Chrysler Christofol;Tok Pisin;Poland;NC-17;886171429;Zloty
Boulevard;3/24/2004;196;Comedy;Patrizius Simic;Johnna Fowles;Hebrew;France;PG-13;566249160;Euro
Matrimonial Comedy (Komedia malzenska);8/25/2011;141;Romance;Bord Gilding;Jodie Tolle;Tajik;China;G;625085344;Yuan Renminbi
Blonde and Blonder;6/26/1913;92;Thriller;Madge Levicount;Stevie McGivena;Kurdish;China;PG;436842670;Yuan Renminbi
3 Sailors and a Girl (Three Sailors and a Girl);6/27/2010;113;Horror;Abbi Bortol;Kalinda Martusov;Dzongkha;Mexico;R;102487678;Peso
Tuesdays with Morrie;12/24/1958;172;Sci-Fi;Tuckie Kaine;Hebert Kelwaybamber;Marathi;Egypt;G;209962155;Pound
Fatherland;7/25/1900;184;Drama;Fanechka Pym;Ines Nannoni;Telugu;Ecuador;PG-13;7070057;Dollar
Hit, The;9/21/1993;83;Thriller;Butch Theze;Oralla Wicklin;Gagauz;Thailand;NC-17;657043319;Baht
Crazy Stone (Fengkuang de shitou);05.11.1930;154;Action;Cory Dwyr;Atalanta Clowser;Spanish;Georgia;PG;649230059;Lari
City for Conquest;4/13/2017;226;Action;Karrah Shilburne;Olenolin Pereira;Kannada;Indonesia;R;488904052;Rupiah
Bio Zombie (Sun faa sau si);11/29/2014;61;Thriller;Cherise O'Carney;Rita Crombleholme;Aymara;China;PG-13;720917431;Yuan Renminbi
Nick Fury: Agent of S.H.I.E.L.D.;01.10.1924;192;Horror;Karissa Smithers;Blane Stiff;Armenian;Brazil;G;578144936;Real
Viva Las Vegas;9/29/1965;106;Drama;Lyssa Learman;Antoni Prestige;Afrikaans;South Africa;PG;256417092;Rand
Beyond Enemy Lines (Framom främsta linjen);12.03.1963;115;Action;Sarene Rooksby;Paquito Merrien;Icelandic;Albania;R;25099350;Lek
Vamp;11/30/1933;118;Thriller;Brantley MacSharry;Elsworth Cundict;Tetum;Philippines;PG;620357078;Peso
Radioactive Dreams;11.01.1925;210;Horror;Wiley Fellon;Rodger Fernanando;French;Lithuania;R;506698406;Litas
Guy and Madeline on a Park Bench;10/18/1988;167;Sci-Fi;Kaile Goforth;Jobey Chismon;Danish;Czech Republic;PG;856997381;Koruna
Tribute;2/24/1966;188;Comedy;Aldus Hodinton;Murvyn Haseley;Oriya;Vietnam;PG-13;271136576;Dong
Tough Guys Don't Dance;01.08.1903;79;Horror;Brok Petche;Benoit Lum;Bulgarian;Indonesia;PG;209273304;Rupiah
Adventurer, The;12.10.1901;145;Romance;Rory Sands-Allan;Idell Harkin;Spanish;Poland;NC-17;835072127;Zloty
Prince of Central Park, The;2/26/1979;153;Drama;Gabbey Damato;Jacinthe McKerton;Chinese;Vietnam;PG-13;132510111;Dong
41;1/26/1907;65;Thriller;Neda Simmon;Betsy Aslett;Hiri Motu;France;R;523656525;Euro
Happiness;02.12.1944;208;Comedy;Enrique O'Hearn;Artemis Castellucci;Latvian;China;G;275231075;Yuan Renminbi
The Brass Legend;7/29/1919;149;Romance;Minne McClory;Emanuele Behrend;Marathi;Russia;PG;453422037;Ruble
Mail Order Bride;05.09.2008;205;Horror;Antoni Croston;Karl Yerborn;Latvian;Philippines;R;326594842;Peso
Praise;03.09.1974;163;Comedy;Leland Tregiddo;Kamilah Kiwitz;West Frisian;China;G;566956539;Yuan Renminbi
Nirvana;8/13/1908;115;Drama;Omero Duggon;Krystalle Hoodlass;Italian;China;R;214730397;Yuan Renminbi
King of the Children (Hai zi wang);2/26/1932;111;Horror;Moshe Duthie;Ryon Keddie;Montenegrin;Poland;PG-13;413902730;Zloty
Sharpay's Fabulous Adventure;7/23/1954;220;Action;Louie Robertucci;Torrence Scardefield;Tsonga;Peru;G;786901759;Sol
Fermat's Room (La habitación de Fermat);1/21/1951;196;Drama;Corty Alstead;Brady Overshott;Hebrew;Poland;G;727552067;Zloty
Spider;4/28/1983;101;Romance;Tobin Nelhams;Desdemona Abrashkin;Khmer;Luxembourg;PG-13;281158596;Euro
Fat, Sick & Nearly Dead 2;10/15/1997;177;Horror;Cathrine Featherstonhalgh;Delphine Canet;Indonesian;Iran;G;291512466;Rial
Secret of Moonacre, The;10/21/1923;191;Horror;Flory Muzzillo;Lacee Bromfield;Malay;Russia;G;359148209;Ruble
A Year Along the Abandoned Road;8/18/1940;193;Drama;Harry Semken;Cairistiona Cabrales;Punjabi;China;NC-17;632015476;Yuan Renminbi
Prisoner of Paradise;4/18/1926;212;Horror;Danielle Caherny;Christabel Dalliwater;Quechua;Poland;PG-13;161320511;Zloty
Desert Fox, The;12/28/1987;233;Horror;Peadar Stirley;Nicolle Cohani;Bengali;France;PG-13;612733924;Euro
47 Samurai (Chûshingura) (Loyal 47 Ronin, The);11.03.1931;81;Thriller;Concordia Winser;Jeramie Brok;German;France;R;257727319;Euro
Zoom;7/26/2012;158;Comedy;Onofredo Canby;Lennie Barrack;Hebrew;China;G;853470966;Yuan Renminbi
Trial of Joan of Arc, The (Procès de Jeanne d'Arc);6/24/1911;118;Romance;Shandra Frankiewicz;Ainslie Maffi;Malayalam;Indonesia;G;506670341;Rupiah
Tom Thumb;1/17/1956;180;Romance;Celestine Edling;Catlee Wilcher;Danish;Sweden;NC-17;814880809;Krona
Wanderlust;04.11.1973;135;Sci-Fi;Zorine Hirschmann;Zulema Toopin;Dzongkha;Ethiopia;R;100651116;Birr
Cats & Dogs;9/25/1943;102;Drama;Roderick Denzilow;Jethro Paulsen;Icelandic;Indonesia;NC-17;329139939;Rupiah
Lost in Thailand (Ren zai jiong tu zhi tai jiong);05.09.1986;147;Romance;Kippie Messier;Elonore Do Rosario;Italian;China;PG;823061163;Yuan Renminbi
Tombs of the Blind Dead (La noche del terror ciego);07.02.1902;77;Comedy;Kristofor Gogan;Alex Frigot;Bulgarian;Indonesia;G;215582947;Rupiah
Milk;03.11.1973;136;Thriller;Ellwood Edmans;Sabra Tyce;Macedonian;Bolivia;NC-17;932193436;Boliviano
Father of the Bride;9/15/1980;147;Thriller;Gonzalo Nitti;Millie Redgrove;Haitian Creole;Central African Republic;NC-17;907542913;Franc
Rush;03.02.1959;206;Drama;Kevyn Oscroft;Jeanine Curuclis;Quechua;Indonesia;G;63662390;Rupiah
Clash of the Titans;4/19/2012;105;Horror;Pauline Thieme;Carlen Manifold;Arabic;Sweden;PG-13;354979886;Krona
Japanese Story;2/16/2003;145;Action;Jerry MacConnechie;Evin Lovitt;Hebrew;China;R;658158520;Yuan Renminbi
Edge of Love, The;09.07.1946;127;Romance;Rosabella Kippax;Lanette Garrettson;Croatian;Iran;G;938896841;Rial
Guard, The;08.02.1946;155;Sci-Fi;Cullen McKearnen;Lydie Haruard;Norwegian;Mexico;G;438736417;Peso
Unstoppable;02.02.1954;153;Action;Hill Filan;Celeste Featherby;Estonian;Malawi;PG-13;19969350;Kwacha
Life Is Sweet;1/18/1937;185;Thriller;Greer Di Gregorio;Greg Gleder;Mongolian;Portugal;G;386072346;Euro
Barbie in the Nutcracker;5/14/1975;144;Romance;Ingunna Eberdt;Bucky Banyard;Tok Pisin;Sweden;PG-13;905892051;Krona
Wake in Providence, A;5/22/2002;101;Drama;Cobbie Tweddle;Gratiana Lodemann;Chinese;Croatia;R;298013175;Kuna
Nomi Song, The;08.10.2012;63;Romance;Ibby Steinor;Bary Penson;Icelandic;Thailand;G;113273353;Baht
Living in Oblivion;10/21/1929;87;Horror;Grady Merriment;Leoine Sowerbutts;Nepali;China;PG-13;74568109;Yuan Renminbi
Informant;06.12.2002;208;Horror;Thoma Doyle;Phillipp Standish;Quechua;Indonesia;PG;702923537;Rupiah
Bank Dick, The;05.10.1926;172;Drama;Anthea Croxley;Gannie Mueller;Irish Gaelic;Indonesia;R;965423810;Rupiah
Formosa Betrayed;8/26/1966;101;Romance;Garrek Pattington;Rancell O'Glessane;Georgian;Latvia;NC-17;926028389;Euro
Prodigal Son, The (Tuhlaajapoika);1/14/2018;222;Romance;Branden Casarini;Aurora Crisell;Northern Sotho;United States;PG;284891987;Dollar
Medicine for Melancholy;6/29/1974;85;Action;Farris Alvy;Nicolette Wellbank;Kyrgyz;Indonesia;NC-17;928368073;Rupiah
