dog_name=|=dog_breed=|=event_datetime=|=active=|=gender=|=sales=|=foodname=|=brand
Griffon vulture=|=Siberian Husky=|=2021-06-10T10:53:28Z=|=false=|=Male=|=394=|=Appetizer - Assorted Box=|=Miautex
Jabiru stork=|=Beagle=|=2020-10-23T05:43:38Z=|=false=|=Male=|=159=|=Cheese - Brie=|=Xen
Savannah deer=|=Beagle=|=2020-08-23T06:17:30Z=|=true=|=Male=|=762=|=Sugar - Fine=|=Holoubek Corp
Malleefowl=|=Boxer=|=2022-09-24T04:53:42Z=|=false=|=Male=|=1651=|=Wine - White Cab Sauv.on=|=Kumciaczkos
Lemur, sportive=|=Dachshund=|=2022-04-24T04:00:50Z=|=false=|=Female=|=428=|=Godiva White Chocolate=|=Miautex
Small Indian mongoose=|=German Shepherd=|=2022-06-23T12:57:23Z=|=true=|=Male=|=1040=|=Muffin Mix - Lemon Cranberry=|=Kloburg
Lemming, arctic=|=Golden Retriever=|=2021-05-02T05:47:23Z=|=false=|=Female=|=1373=|=Tomato - Plum With Basil=|=Kloburg
Duiker, gray=|=Golden Retriever=|=2023-01-30T22:16:36Z=|=false=|=Male=|=1972=|=Spinach - Spinach Leaf=|=Kloburg
Hawk, red-tailed=|=Labrador Retriever=|=2023-05-10T18:11:03Z=|=false=|=Female=|=767=|=Cod - Salted, Boneless=|=Kloburg
Egyptian viper=|=Labrador Retriever=|=2022-10-02T08:44:59Z=|=true=|=Female=|=1930=|=Pickle - Dill=|=Sznippers
Crane, stanley=|=Dachshund=|=2022-02-28T23:56:13Z=|=true=|=Male=|=1779=|=Orange - Tangerine=|=Miautex
Galapagos sea lion=|=Golden Retriever=|=2021-12-06T02:10:56Z=|=true=|=Female=|=1695=|=Banana Turning=|=Miautex
Squirrel, indian giant=|=German Shepherd=|=2022-02-28T12:17:04Z=|=false=|=Non-binary=|=256=|=Icecream - Dibs=|=Sznippers
Dolphin, striped=|=Golden Retriever=|=2021-10-25T12:14:31Z=|=true=|=Female=|=411=|=Beer - Corona=|=Witold's and Jerzy's
Defassa waterbuck=|=Rottweiler=|=2021-08-26T21:47:15Z=|=false=|=Genderfluid=|=1493=|=Crab - Meat=|=Xen
Porcupine, indian=|=German Shepherd=|=2021-12-27T10:00:11Z=|=false=|=Genderqueer=|=1419=|=French Pastry - Mini Chocolate=|=Witold's and Jerzy's
Lion, steller's sea=|=Boxer=|=2022-07-31T08:07:35Z=|=false=|=Female=|=1355=|=Bay Leaf Fresh=|=Witold's and Jerzy's
Indian jackal=|=German Shepherd=|=2023-05-03T03:53:32Z=|=false=|=Non-binary=|=1282=|=Wine - Rosso Del Veronese Igt=|=Kumciaczkos
Komodo dragon=|=German Shepherd=|=2021-01-25T02:30:30Z=|=true=|=Female=|=1828=|=Tea Leaves - Oolong=|=Sznippers
Painted stork=|=Boxer=|=2022-12-04T14:46:28Z=|=true=|=Female=|=1725=|=Peach - Halves=|=Miautex
Feathertail glider=|=Boxer=|=2022-10-21T01:01:00Z=|=true=|=Male=|=759=|=Soup - Cream Of Potato / Leek=|=Witold's and Jerzy's
King cormorant=|=Labrador Retriever=|=2021-07-29T08:26:16Z=|=true=|=Male=|=1374=|=Ecolab - Mikroklene 4/4 L=|=Witold's and Jerzy's
Glider, sugar=|=Boxer=|=2023-03-18T00:39:11Z=|=true=|=Agender=|=272=|=Fennel=|=Miautex
White-necked raven=|=German Shepherd=|=2022-09-26T08:59:26Z=|=false=|=Male=|=580=|=Ecolab - Lime - A - Way 4/4 L=|=Sznippers
African lynx=|=Labrador Retriever=|=2022-07-14T19:16:51Z=|=true=|=Female=|=1763=|=Scallops - In Shell=|=Kloburg
Lizard, goanna=|=Beagle=|=2020-12-28T15:15:33Z=|=false=|=Female=|=700=|=Alize Gold Passion=|=Witold's and Jerzy's
Wapiti, elk,=|=Dachshund=|=2022-03-13T11:35:33Z=|=false=|=Female=|=1096=|=Lemon Balm - Fresh=|=Holoubek Corp
Crab-eating fox=|=Siberian Husky=|=2020-06-21T03:37:31Z=|=true=|=Female=|=1485=|=Cheese - Bakers Cream Cheese=|=Kumciaczkos
Blacksmith plover=|=Siberian Husky=|=2022-08-24T06:37:36Z=|=false=|=Agender=|=1312=|=Puff Pastry - Slab=|=Witold's and Jerzy's
Flycatcher, tyrant=|=Boxer=|=2021-05-26T21:52:23Z=|=false=|=Female=|=277=|=Wine - Magnotta - Belpaese=|=Miautex
Crowned hawk-eagle=|=Bulldog=|=2021-02-25T03:20:04Z=|=false=|=Female=|=1307=|=Smoked Paprika=|=Kloburg
Red and blue macaw=|=Labrador Retriever=|=2021-04-27T12:30:53Z=|=true=|=Polygender=|=952=|=Wine - Tribal Sauvignon=|=Kumciaczkos
Shelduck, european=|=Labrador Retriever=|=2021-04-25T21:51:42Z=|=true=|=Male=|=913=|=Wine - Red, Cooking=|=Xen
Swan, trumpeter=|=Dachshund=|=2022-01-01T21:55:20Z=|=false=|=Male=|=366=|=Creme De Banane - Marie=|=Xen
Bobcat=|=Poodle=|=2021-12-17T21:07:00Z=|=false=|=Female=|=1344=|=Juice - Tomato, 48 Oz=|=Witold's and Jerzy's
South American puma=|=Golden Retriever=|=2020-09-06T13:37:01Z=|=false=|=Male=|=1429=|=Tuna - Canned, Flaked, Light=|=Sznippers
Bleu, red-cheeked cordon=|=Labrador Retriever=|=2021-03-07T19:20:58Z=|=true=|=Male=|=1026=|=Beef - Rib Roast, Capless=|=Holoubek Corp
Pallas's fish eagle=|=Bulldog=|=2021-11-13T09:14:41Z=|=false=|=Female=|=1061=|=Papayas=|=Miautex
Common goldeneye=|=Rottweiler=|=2021-04-27T13:21:12Z=|=false=|=Male=|=1665=|=Chutney Sauce - Mango=|=Holoubek Corp
Dama wallaby=|=Siberian Husky=|=2022-12-18T05:29:35Z=|=true=|=Male=|=726=|=Soup - Knorr, Veg / Beef=|=Miautex
Cat, civet=|=Poodle=|=2020-10-24T12:12:29Z=|=false=|=Female=|=1369=|=Soup Campbells Split Pea And Ham=|=Kumciaczkos
Komodo dragon=|=Dachshund=|=2021-04-27T02:54:33Z=|=true=|=Male=|=1508=|=Nut - Chestnuts, Whole=|=Miautex
Gecko, tokay=|=Labrador Retriever=|=2020-12-11T07:18:33Z=|=false=|=Female=|=122=|=Mop Head - Cotton, 24 Oz=|=Kloburg
Lizard, blue-tongued=|=Rottweiler=|=2022-02-24T17:37:54Z=|=true=|=Female=|=1492=|=Chocolate - Chips Compound=|=Witold's and Jerzy's
Cuis=|=German Shepherd=|=2020-07-21T11:32:24Z=|=true=|=Female=|=782=|=Cognac - Courvaisier=|=Miautex
Grizzly bear=|=Golden Retriever=|=2021-03-21T14:51:49Z=|=false=|=Agender=|=1997=|=Soup - Campbells Chicken=|=Kumciaczkos
Cat, ringtail=|=Siberian Husky=|=2022-05-20T06:03:03Z=|=true=|=Male=|=1250=|=Cloves - Whole=|=Sznippers
Hyena, spotted=|=Labrador Retriever=|=2021-10-08T22:34:32Z=|=false=|=Female=|=379=|=Ecolab - Medallion=|=Holoubek Corp
Fox, asian red=|=Rottweiler=|=2020-07-10T22:14:32Z=|=false=|=Male=|=1164=|=Phyllo Dough=|=Kloburg
Buffalo, wild water=|=Boxer=|=2021-11-11T17:41:52Z=|=false=|=Female=|=671=|=Lettuce - Romaine, Heart=|=Xen
Levaillant's barbet=|=Boxer=|=2022-10-17T13:32:41Z=|=false=|=Female=|=1065=|=Pasta - Lasagna, Dry=|=Witold's and Jerzy's
Vulture, egyptian=|=Dachshund=|=2021-11-29T19:17:48Z=|=true=|=Male=|=451=|=Cheese - St. Andre=|=Kloburg
Blue-tongued skink=|=Beagle=|=2021-06-20T00:34:14Z=|=true=|=Female=|=661=|=Cheese Cloth No 60=|=Holoubek Corp
Dusky gull=|=Boxer=|=2021-07-02T08:38:18Z=|=true=|=Female=|=1919=|=Wine - Black Tower Qr=|=Holoubek Corp
Bee-eater, white-fronted=|=Siberian Husky=|=2020-04-25T21:29:01Z=|=true=|=Female=|=153=|=Pie Shell - 9=|=Xen
Goat, mountain=|=German Shepherd=|=2022-08-28T20:45:06Z=|=false=|=Male=|=1202=|=Chicken - Breast, 5 - 7 Oz=|=Kumciaczkos
Dove, emerald-spotted wood=|=Boxer=|=2020-08-03T19:15:20Z=|=true=|=Male=|=1682=|=Tea - Jasmin Green=|=Miautex
Yellow baboon=|=Beagle=|=2023-01-19T13:27:36Z=|=true=|=Male=|=236=|=Bread - Granary Small Pull=|=Sznippers
Common wombat=|=Boxer=|=2021-04-18T06:30:48Z=|=false=|=Male=|=340=|=Dragon Fruit=|=Holoubek Corp
Eagle, golden=|=Siberian Husky=|=2021-07-30T01:41:52Z=|=false=|=Female=|=695=|=Sage Ground Wiberg=|=Kumciaczkos
Turkey vulture=|=Golden Retriever=|=2022-07-03T02:31:32Z=|=true=|=Non-binary=|=120=|=Wine - Pinot Noir Pond Haddock=|=Kumciaczkos
Steenbok=|=Poodle=|=2023-01-29T20:34:01Z=|=true=|=Female=|=1055=|=Pork - Caul Fat=|=Holoubek Corp
White stork=|=Beagle=|=2022-01-23T14:10:03Z=|=true=|=Male=|=1570=|=Alize Sunset=|=Sznippers
House sparrow=|=Golden Retriever=|=2022-12-09T02:10:58Z=|=true=|=Male=|=238=|=Dc - Sakura Fu=|=Witold's and Jerzy's
Bandicoot, short-nosed=|=Bulldog=|=2021-12-06T04:00:42Z=|=true=|=Male=|=1264=|=Ranchero - Primerba, Paste=|=Holoubek Corp
Australian brush turkey=|=Siberian Husky=|=2021-09-09T01:25:39Z=|=false=|=Male=|=109=|=Cheese - Parmesan Grated=|=Sznippers
Reindeer=|=Golden Retriever=|=2020-12-04T04:22:42Z=|=false=|=Non-binary=|=871=|=Chocolate - Dark=|=Kloburg
Eurasian hoopoe=|=Rottweiler=|=2020-07-24T01:17:56Z=|=false=|=Male=|=745=|=Mushroom - Shitake, Fresh=|=Holoubek Corp
Red-tailed cockatoo=|=Beagle=|=2022-09-20T18:25:01Z=|=true=|=Male=|=1051=|=Brocolinni - Gaylan, Chinese=|=Kumciaczkos
White-throated robin=|=Boxer=|=2021-08-30T09:19:37Z=|=true=|=Male=|=823=|=Chicken - Thigh, Bone In=|=Witold's and Jerzy's
Whip-tailed wallaby=|=Beagle=|=2023-01-06T13:54:42Z=|=true=|=Male=|=1134=|=Vacuum Bags 12x16=|=Miautex
Monkey, vervet=|=Beagle=|=2021-12-23T13:06:05Z=|=true=|=Female=|=243=|=Glaze - Apricot=|=Miautex
Black-throated butcher bird=|=Beagle=|=2023-04-16T22:56:37Z=|=false=|=Male=|=509=|=Ecolab Crystal Fusion=|=Kloburg
Tinamou, elegant crested=|=Rottweiler=|=2021-04-01T17:25:42Z=|=false=|=Female=|=1039=|=Cookie - Oreo 100x2=|=Holoubek Corp
Fox, savanna=|=Rottweiler=|=2021-12-13T03:10:05Z=|=false=|=Male=|=1634=|=Wine - Chateau Aqueria Tavel=|=Holoubek Corp
Stork, white-necked=|=Dachshund=|=2021-09-07T19:17:10Z=|=false=|=Female=|=1013=|=Flour - Fast / Rapid=|=Witold's and Jerzy's
Monkey, rhesus=|=Bulldog=|=2020-07-24T02:13:46Z=|=false=|=Polygender=|=404=|=Bread - Mini Hamburger Bun=|=Xen
Lesser double-collared sunbird=|=Siberian Husky=|=2022-07-23T05:19:56Z=|=false=|=Male=|=1221=|=Wine - Cahors Ac 2000, Clos=|=Sznippers
Duiker, gray=|=Siberian Husky=|=2021-07-23T02:40:30Z=|=true=|=Female=|=105=|=Veal - Heart=|=Kloburg
Galapagos dove=|=German Shepherd=|=2022-10-12T20:30:43Z=|=true=|=Bigender=|=1251=|=Pork - Ground=|=Kumciaczkos
Weaver, red-billed buffalo=|=Rottweiler=|=2023-03-12T18:16:13Z=|=false=|=Male=|=426=|=Bread - Hot Dog Buns=|=Xen
Stick insect=|=German Shepherd=|=2020-05-21T13:39:21Z=|=true=|=Male=|=1120=|=Fish - Halibut, Cold Smoked=|=Witold's and Jerzy's
Western lowland gorilla=|=Dachshund=|=2021-11-11T14:43:36Z=|=true=|=Male=|=1730=|=Bread Base - Goodhearth=|=Xen
Macaque, bonnet=|=Boxer=|=2021-12-16T23:20:11Z=|=false=|=Female=|=326=|=Coffee - Espresso=|=Kloburg
Brown lemur=|=Bulldog=|=2022-10-12T08:22:55Z=|=true=|=Male=|=1794=|=Chutney Sauce - Mango=|=Xen
Ibis, puna=|=Bulldog=|=2020-11-12T06:40:08Z=|=false=|=Male=|=1461=|=Beer - Paulaner Hefeweisse=|=Holoubek Corp
Dove, emerald-spotted wood=|=Poodle=|=2020-07-20T16:37:34Z=|=false=|=Female=|=859=|=Squid - U - 10 Thailand=|=Witold's and Jerzy's
Llama=|=German Shepherd=|=2022-10-17T07:53:14Z=|=true=|=Female=|=1846=|=Tomatillo=|=Kumciaczkos
Chipmunk, least=|=German Shepherd=|=2021-04-03T07:01:58Z=|=true=|=Female=|=1491=|=Water - Spring Water 500ml=|=Xen
Coqui francolin=|=Bulldog=|=2023-04-17T19:28:07Z=|=false=|=Female=|=1265=|=Steam Pan - Half Size Deep=|=Miautex
Cormorant, little=|=German Shepherd=|=2022-01-13T00:59:00Z=|=false=|=Female=|=1984=|=V8 Splash Strawberry Kiwi=|=Holoubek Corp
Andean goose=|=Beagle=|=2020-05-20T20:17:14Z=|=true=|=Male=|=410=|=Trout - Hot Smkd, Dbl Fillet=|=Holoubek Corp
Bushbuck=|=Siberian Husky=|=2021-01-18T20:10:05Z=|=true=|=Female=|=618=|=Trout - Smoked=|=Kumciaczkos
Mara=|=Rottweiler=|=2023-03-24T08:13:07Z=|=false=|=Male=|=1778=|=Quinoa=|=Sznippers
Jackal, black-backed=|=Siberian Husky=|=2023-04-07T01:32:16Z=|=true=|=Female=|=423=|=Cheese - Swiss=|=Miautex
Shelduck, common=|=Boxer=|=2022-09-12T23:58:42Z=|=false=|=Male=|=1735=|=Rhubarb=|=Miautex
Siskin, pine=|=Bulldog=|=2022-07-30T20:04:07Z=|=true=|=Female=|=765=|=Heavy Duty Dust Pan=|=Holoubek Corp
Polecat, african=|=Poodle=|=2021-04-05T04:04:13Z=|=true=|=Female=|=1968=|=Miso Paste White=|=Holoubek Corp
Thrasher, curve-billed=|=Golden Retriever=|=2021-01-06T19:16:53Z=|=false=|=Female=|=1973=|=Wine - Two Oceans Cabernet=|=Kloburg
North American porcupine=|=Beagle=|=2021-10-18T02:36:49Z=|=false=|=Female=|=1212=|=Flour - Corn, Fine=|=Holoubek Corp
Common grenadier=|=Golden Retriever=|=2020-11-14T13:16:30Z=|=true=|=Male=|=1912=|=Zucchini - Mini, Green=|=Witold's and Jerzy's
Wallaby, euro=|=Boxer=|=2023-02-19T13:53:52Z=|=false=|=Bigender=|=955=|=Puree - Pear=|=Holoubek Corp
Common eland=|=Boxer=|=2023-03-09T15:52:16Z=|=false=|=Female=|=1421=|=Longos - Chicken Caeser Salad=|=Xen
Genet, common=|=Labrador Retriever=|=2021-01-04T12:40:33Z=|=true=|=Male=|=1059=|=Pork - Sausage Casing=|=Holoubek Corp
Cockatoo, roseate=|=Poodle=|=2020-04-06T09:13:48Z=|=false=|=Male=|=476=|=Cake - Mini Cheesecake=|=Witold's and Jerzy's
Skink, african=|=Bulldog=|=2020-10-12T04:47:55Z=|=true=|=Male=|=536=|=Bread - Corn Muffaleta Onion=|=Sznippers
Langur, hanuman=|=Dachshund=|=2021-12-29T00:50:08Z=|=true=|=Genderfluid=|=1165=|=Pineapple - Golden=|=Kumciaczkos
Squirrel, eastern fox=|=Bulldog=|=2020-10-15T20:01:19Z=|=true=|=Female=|=1589=|=Beef - Tongue, Cooked=|=Sznippers
Macaw, red and blue=|=Rottweiler=|=2022-09-11T01:53:29Z=|=false=|=Female=|=1238=|=Duck - Whole=|=Witold's and Jerzy's
Penguin, fairy=|=Beagle=|=2022-07-15T10:07:33Z=|=false=|=Female=|=1250=|=Kiwi=|=Kumciaczkos
Parakeet, rose-ringed=|=German Shepherd=|=2021-06-12T04:26:00Z=|=false=|=Male=|=1322=|=Ostrich - Prime Cut=|=Miautex
Barbet, levaillant's=|=Labrador Retriever=|=2022-12-11T23:31:32Z=|=false=|=Female=|=1292=|=Bread - Petit Baguette=|=Xen
Fox, arctic=|=Labrador Retriever=|=2021-08-26T19:54:23Z=|=true=|=Female=|=1757=|=Orange Roughy 4/6 Oz=|=Witold's and Jerzy's
African fish eagle=|=Boxer=|=2022-04-04T01:15:02Z=|=true=|=Male=|=535=|=Pastry - Mini French Pastries=|=Witold's and Jerzy's
Glider, squirrel=|=Poodle=|=2023-03-03T11:57:03Z=|=true=|=Female=|=799=|=Beer - Original Organic Lager=|=Miautex
Eastern dwarf mongoose=|=German Shepherd=|=2022-07-20T20:34:28Z=|=false=|=Male=|=787=|=Puree - Mango=|=Holoubek Corp
Cobra (unidentified)=|=Rottweiler=|=2022-06-21T05:36:51Z=|=true=|=Bigender=|=468=|=Lid - 3oz Med Rec=|=Kumciaczkos
Hawk-headed parrot=|=Siberian Husky=|=2022-12-08T22:43:19Z=|=false=|=Male=|=514=|=Nut - Chestnuts, Whole=|=Kumciaczkos
Jackal, asiatic=|=Dachshund=|=2022-04-07T10:40:39Z=|=false=|=Female=|=1043=|=Southern Comfort=|=Sznippers
Seal, southern elephant=|=Dachshund=|=2020-07-31T01:15:41Z=|=false=|=Female=|=480=|=Corn Shoots=|=Holoubek Corp
Lily trotter=|=Siberian Husky=|=2022-03-16T21:05:06Z=|=true=|=Female=|=713=|=Tray - 12in Rnd Blk=|=Sznippers
Black-capped chickadee=|=Labrador Retriever=|=2022-02-01T20:50:24Z=|=true=|=Female=|=637=|=Island Oasis - Magarita Mix=|=Sznippers
Wagtail, african pied=|=Labrador Retriever=|=2021-01-19T14:37:31Z=|=false=|=Female=|=1012=|=Chinese Lemon Pork=|=Holoubek Corp
Tortoise, indian star=|=Bulldog=|=2020-12-28T19:41:34Z=|=true=|=Male=|=554=|=Juice - Lime=|=Kumciaczkos
Long-finned pilot whale=|=Beagle=|=2021-08-14T10:02:09Z=|=true=|=Female=|=1154=|=Nut - Hazelnut, Whole=|=Xen
Macaw, blue and gold=|=Labrador Retriever=|=2020-07-28T07:20:50Z=|=false=|=Male=|=484=|=Beans - Soya Bean=|=Miautex
Spurfowl, yellow-necked=|=Labrador Retriever=|=2020-08-03T06:32:12Z=|=false=|=Female=|=519=|=Daves Island Stinger=|=Miautex
Tawny eagle=|=Boxer=|=2020-04-24T17:19:31Z=|=true=|=Male=|=350=|=Broom - Angled=|=Witold's and Jerzy's
Tern, white-winged=|=Dachshund=|=2022-04-13T22:29:53Z=|=true=|=Male=|=1506=|=Shark - Loin=|=Xen
Caracal=|=German Shepherd=|=2020-07-21T22:30:37Z=|=true=|=Female=|=1066=|=Sugar - Sweet N Low, Individual=|=Kumciaczkos
Long-tailed spotted cat=|=Rottweiler=|=2020-09-12T09:26:49Z=|=false=|=Male=|=806=|=Kellogs All Bran Bars=|=Witold's and Jerzy's
Mountain goat=|=Dachshund=|=2022-06-05T05:19:14Z=|=false=|=Male=|=1029=|=Beans - Black Bean, Preserved=|=Holoubek Corp
Squirrel glider=|=Golden Retriever=|=2021-08-08T13:13:56Z=|=false=|=Bigender=|=372=|=Almonds Ground Blanched=|=Xen
Pademelon, red-legged=|=Beagle=|=2020-12-12T03:08:28Z=|=true=|=Genderfluid=|=1140=|=Curry Powder=|=Kloburg
Spotted wood sandpiper=|=Labrador Retriever=|=2023-04-24T22:43:38Z=|=true=|=Female=|=598=|=True - Vue Containers=|=Kloburg
Gonolek, burchell's=|=Poodle=|=2021-03-25T13:08:42Z=|=false=|=Female=|=1558=|=Bread - Petit Baguette=|=Xen
Silver gull=|=Labrador Retriever=|=2022-03-09T17:17:24Z=|=true=|=Male=|=1405=|=Wine - Vineland Estate Semi - Dry=|=Witold's and Jerzy's
European badger=|=Golden Retriever=|=2021-04-12T12:20:36Z=|=false=|=Male=|=1059=|=Pastry - Carrot Muffin - Mini=|=Xen
Common langur=|=Rottweiler=|=2022-10-12T02:35:59Z=|=true=|=Polygender=|=844=|=Ecolab - Lime - A - Way 4/4 L=|=Kumciaczkos
Vulture, king=|=Siberian Husky=|=2022-03-17T01:52:23Z=|=false=|=Polygender=|=759=|=Cardamon Ground=|=Witold's and Jerzy's
Eurasian hoopoe=|=Golden Retriever=|=2021-05-06T14:32:25Z=|=true=|=Male=|=1631=|=Pork Casing=|=Xen
African ground squirrel (unidentified)=|=Labrador Retriever=|=2021-12-04T09:12:10Z=|=false=|=Male=|=1507=|=Cheese - Le Cru Du Clocher=|=Miautex
Armadillo, common long-nosed=|=Bulldog=|=2020-08-25T10:00:57Z=|=true=|=Polygender=|=1721=|=Squash - Pepper=|=Holoubek Corp
Wolf spider=|=Dachshund=|=2021-04-27T12:53:02Z=|=true=|=Female=|=455=|=Dawn Professionl Pot And Pan=|=Miautex
Barbet, black-collared=|=Boxer=|=2021-08-15T16:08:42Z=|=false=|=Genderfluid=|=1499=|=Orange - Blood=|=Kloburg
Giant armadillo=|=Bulldog=|=2022-08-15T20:08:52Z=|=false=|=Male=|=1601=|=Lamb - Whole, Frozen=|=Kumciaczkos
Barking gecko=|=Poodle=|=2022-07-25T05:53:02Z=|=true=|=Female=|=1873=|=Trout - Smoked=|=Xen
Rhinoceros, black=|=Labrador Retriever=|=2021-08-30T22:03:40Z=|=true=|=Female=|=1130=|=Daikon Radish=|=Xen
Long-crested hawk eagle=|=German Shepherd=|=2022-12-21T18:56:57Z=|=true=|=Female=|=1974=|=Spinach - Spinach Leaf=|=Kloburg
Snake-necked turtle=|=Rottweiler=|=2022-03-20T13:10:09Z=|=true=|=Female=|=1828=|=Sole - Fillet=|=Holoubek Corp
Squirrel, eurasian red=|=Golden Retriever=|=2021-07-12T14:06:14Z=|=false=|=Female=|=1029=|=Chinese Foods - Cantonese=|=Xen
Barasingha deer=|=Beagle=|=2020-06-24T04:40:03Z=|=false=|=Male=|=1707=|=Bag Clear 10 Lb=|=Holoubek Corp
Sage hen=|=Labrador Retriever=|=2022-10-05T02:38:57Z=|=false=|=Female=|=975=|=Extract - Almond=|=Miautex
Hawk, galapagos=|=Siberian Husky=|=2021-07-18T05:33:00Z=|=true=|=Female=|=1753=|=Amaretto=|=Miautex
Moorhen, purple=|=Labrador Retriever=|=2021-09-08T13:32:19Z=|=false=|=Male=|=1164=|=Water, Tap=|=Witold's and Jerzy's
Arctic fox=|=Rottweiler=|=2023-05-26T08:13:08Z=|=false=|=Genderfluid=|=1308=|=Sauce - Bernaise, Mix=|=Miautex
Squirrel, arctic ground=|=German Shepherd=|=2022-08-31T20:05:16Z=|=false=|=Female=|=435=|=Pepper - Red Thai=|=Xen
Purple grenadier=|=German Shepherd=|=2021-08-31T09:41:10Z=|=true=|=Female=|=1704=|=Squash - Acorn=|=Miautex
Wallaby, euro=|=Bulldog=|=2020-11-03T12:09:16Z=|=false=|=Female=|=1490=|=Rosemary - Dry=|=Sznippers
Sacred ibis=|=Beagle=|=2020-06-18T04:59:00Z=|=true=|=Female=|=1755=|=Vodka - Lemon, Absolut=|=Kumciaczkos
Striped dolphin=|=Dachshund=|=2020-04-22T17:25:52Z=|=false=|=Female=|=522=|=Beef - Tenderloin - Aa=|=Miautex
African red-eyed bulbul=|=Bulldog=|=2021-06-08T12:14:50Z=|=false=|=Female=|=1776=|=Muffin Mix - Oatmeal=|=Holoubek Corp
